# x y z block_id volume angle_x angle_y angle_z
0.000000 0.000000 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.051282 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.102564 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.153846 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.205128 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.256410 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.307692 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.358974 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.410256 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.461538 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.512821 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.564103 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.615385 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.666667 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.717949 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.769231 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.820513 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.871795 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.923077 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 0.974359 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.025641 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.076923 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.128205 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.179487 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.230769 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.282051 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.333333 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.384615 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.435897 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.487179 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.538462 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.589744 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.641026 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.692308 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.743590 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.794872 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.846154 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.897436 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 1.948718 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.000000 2.000000 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.000000 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.051282 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.102564 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.153846 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.205128 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.256410 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.307692 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.358974 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.410256 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.461538 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.512821 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.564103 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.615385 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.666667 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.717949 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.769231 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.820513 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.871795 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.923077 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 0.974359 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.025641 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.076923 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.128205 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.179487 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.230769 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.282051 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.333333 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.384615 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.435897 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.487179 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
0.049875 1.538462 0.000000 1 0.00012756650 0.000000 0.000000 0.000000
