# x y z block_id volume
0.000000000000000000e+00 1.000000000000000021e-02 0.000000000000000000e+00 1 2.267573696145124625e-07
4.761904761904761901e-04 9.999425512906386787e-03 0.000000000000000000e+00 1 2.267443426962899398e-07
9.523809523809523801e-04 9.998851025812773366e-03 0.000000000000000000e+00 1 2.267313157780673907e-07
1.428571428571428570e-03 9.998276538719159945e-03 0.000000000000000000e+00 1 2.267182888598448944e-07
1.904761904761904760e-03 9.997702051625546524e-03 0.000000000000000000e+00 1 2.267052619416223717e-07
2.380952380952381167e-03 9.997127564531933103e-03 0.000000000000000000e+00 2 2.266922350233998226e-07
2.857142857142857140e-03 9.996553077438319682e-03 0.000000000000000000e+00 2 2.266792081051772999e-07
3.333333333333333114e-03 9.995978590344706260e-03 0.000000000000000000e+00 2 2.266661811869547772e-07
3.809523809523809521e-03 9.995404103251092839e-03 0.000000000000000000e+00 2 2.266531542687322545e-07
4.285714285714285927e-03 9.994829616157479418e-03 0.000000000000000000e+00 2 2.266401273505097318e-07
4.761904761904762334e-03 9.994255129063865997e-03 0.000000000000000000e+00 2 2.266271004322872091e-07
5.238095238095237874e-03 9.993680641970252576e-03 0.000000000000000000e+00 2 2.266140735140646864e-07
5.714285714285714281e-03 9.993106154876639155e-03 0.000000000000000000e+00 2 2.266010465958421372e-07
6.190476190476190688e-03 9.992531667783025734e-03 0.000000000000000000e+00 2 2.265880196776196145e-07
6.666666666666666227e-03 9.991957180689412313e-03 0.000000000000000000e+00 2 2.265749927593970918e-07
7.142857142857142634e-03 9.991382693595798892e-03 0.000000000000000000e+00 2 2.265619658411745691e-07
7.619047619047619041e-03 9.990808206502185471e-03 0.000000000000000000e+00 2 2.265489389229520464e-07
8.095238095238094581e-03 9.990233719408572050e-03 0.000000000000000000e+00 2 2.265359120047295237e-07
8.571428571428571855e-03 9.989659232314958628e-03 0.000000000000000000e+00 2 2.265228850865069746e-07
9.047619047619047394e-03 9.989084745221345207e-03 0.000000000000000000e+00 2 2.265098581682844519e-07
9.523809523809524669e-03 9.948716500007321814e-03 0.000000000000000000e+00 3 2.255944784582159080e-07
1.000000000000000021e-02 9.769741112999127605e-03 0.000000000000000000e+00 3 2.215360796598441465e-07
1.047619047619047575e-02 9.594388822172717629e-03 0.000000000000000000e+00 3 2.175598372374765542e-07
1.095238095238095302e-02 9.422636728339142329e-03 0.000000000000000000e+00 3 2.136652319351279393e-07
1.142857142857142856e-02 9.254455225144656363e-03 0.000000000000000000e+00 3 2.098515924069082960e-07
1.190476190476190410e-02 9.089819637683108425e-03 0.000000000000000000e+00 3 2.061183591311362364e-07
1.238095238095238138e-02 8.928705973571005386e-03 0.000000000000000000e+00 3 2.024649880628345613e-07
1.285714285714285691e-02 8.771090942054271880e-03 0.000000000000000000e+00 3 1.988909510669902856e-07
1.333333333333333245e-02 8.616953224791350577e-03 0.000000000000000000e+00 3 1.953957647344977404e-07
1.380952380952380973e-02 8.466268919255217837e-03 0.000000000000000000e+00 3 1.919788870579414361e-07
1.428571428571428527e-02 8.319016639153192436e-03 0.000000000000000000e+00 3 1.886398330873739666e-07
1.476190476190476254e-02 8.175175612726057195e-03 0.000000000000000000e+00 3 1.853781318078470916e-07
1.523809523809523808e-02 8.034725670659893446e-03 0.000000000000000000e+00 3 1.821933258653036961e-07
1.571428571428571536e-02 7.897647234430019494e-03 0.000000000000000000e+00 3 1.790849713022680144e-07
1.619047619047618916e-02 7.763921305063063369e-03 0.000000000000000000e+00 3 1.760526373030173035e-07
1.666666666666666644e-02 7.633530845824436015e-03 0.000000000000000000e+00 3 1.730959375470393546e-07
1.714285714285714371e-02 7.506457254418463093e-03 0.000000000000000000e+00 3 1.702144502135705788e-07
1.761904761904761751e-02 7.382682915460671465e-03 0.000000000000000000e+00 3 1.674077758607861852e-07
1.809523809523809479e-02 7.262191030981216162e-03 0.000000000000000000e+00 3 1.646755335823405098e-07
1.857142857142857206e-02 7.144965332543547903e-03 0.000000000000000000e+00 3 1.620173544794455309e-07
1.904761904761904934e-02 7.030990475026386265e-03 0.000000000000000000e+00 3 1.594328905901674733e-07
1.952380952380952314e-02 6.920254230488800604e-03 0.000000000000000000e+00 3 1.569218646369342500e-07
2.000000000000000042e-02 6.812738765948335613e-03 0.000000000000000000e+00 3 1.544838722437264061e-07
2.047619047619047769e-02 6.708429833277699574e-03 0.000000000000000000e+00 3 1.521185903237573358e-07
2.095238095238095150e-02 6.607316367893902205e-03 0.000000000000000000e+00 3 1.498257679794535614e-07
2.142857142857142877e-02 6.509384709015885069e-03 0.000000000000000000e+00 3 1.476050954425370793e-07
2.190476190476190604e-02 6.414620003394318030e-03 0.000000000000000000e+00 3 1.454562359046330483e-07
2.238095238095237985e-02 6.323013691171370729e-03 0.000000000000000000e+00 3 1.433789952646569380e-07
2.285714285714285712e-02 6.234552101937454981e-03 0.000000000000000000e+00 3 1.413730635359967001e-07
2.333333333333333440e-02 6.149222958030918680e-03 0.000000000000000000e+00 3 1.394381623136262700e-07
2.380952380952380820e-02 6.067019682705097200e-03 0.000000000000000000e+00 3 1.375741424649681722e-07
2.428571428571428548e-02 5.987926591632224300e-03 0.000000000000000000e+00 3 1.357806483363316208e-07
