DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0.713439,424,0.731061,433,0.751698,444,0.751698,444
0.713445,424,0.731068,434,0.751704,444,0.751704,444
0.713452,424,0.731074,434,0.75171,444,0.75171,444
0.713458,424,0.731081,434,0.751715,444,0.751715,444
0.713465,424,0.731088,434,0.751721,444,0.751721,444
0.713472,424,0.731094,434,0.751727,443,0.751727,443
0.713478,424,0.731101,434,0.751733,443,0.751733,443
0.713485,424,0.731107,434,0.751739,443,0.751739,443
0.713492,424,0.731114,434,0.751745,443,0.751745,443
0.713498,423,0.73112,434,0.75175,443,0.75175,443
0.713505,423,0.731127,434,0.751756,443,0.751756,443
0.713511,423,0.731133,434,0.751762,443,0.751762,443
0.713518,423,0.73114,434,0.751768,443,0.751768,443
0.713525,423,0.731147,434,0.751774,443,0.751774,443
0.713531,423,0.731153,434,0.751779,443,0.751779,443
0.713538,423,0.73116,435,0.751785,443,0.751785,443
0.713544,424,0.731166,435,0.751791,443,0.751791,443
0.713551,424,0.731173,435,0.751797,443,0.751797,443
0.713558,424,0.731179,435,0.751803,443,0.751803,443
0.713564,424,0.731186,435,0.751809,443,0.751809,443
0.713571,425,0.731192,435,0.751814,443,0.751814,443
0.713578,425,0.731199,435,0.75182,443,0.75182,443
0.713584,425,0.731206,435,0.751826,443,0.751826,443
0.713591,425,0.731212,435,0.751832,442,0.751832,442
0.713597,424,0.731219,434,0.751838,442,0.751838,442
0.713604,424,0.731225,434,0.751844,442,0.751844,442
0.713611,424,0.731232,434,0.751849,442,0.751849,442
0.713617,424,0.731238,434,0.751855,442,0.751855,442
0.713624,424,0.731245,434,0.751861,442,0.751861,442
0.713631,424,0.731251,434,0.751867,442,0.751867,442
0.713637,424,0.731258,434,0.751873,442,0.751873,442
0.713644,424,0.731265,434,0.751879,441,0.751879,441
0.71365,425,0.731271,434,0.751884,441,0.751884,441
0.713657,425,0.731278,434,0.75189,441,0.75189,441
0.713664,425,0.731284,434,0.751896,440,0.751896,440
0.71367,425,0.731291,434,0.751902,440,0.751902,440
0.713677,425,0.731297,433,0.751908,440,0.751908,440
0.713683,425,0.731304,433,0.751913,440,0.751913,440
0.71369,425,0.73131,433,0.751919,440,0.751919,440
0.713697,425,0.731317,433,0.751925,440,0.751925,440
0.713703,425,0.731324,433,0.751931,440,0.751931,440
0.71371,425,0.73133,433,0.751937,440,0.751937,440
0.713717,425,0.731337,433,0.751943,440,0.751943,440
0.713723,425,0.731343,433,0.751948,440,0.751948,440
0.71373,425,0.73135,433,0.751954,440,0.751954,440
0.713736,425,0.731356,433,0.75196,440,0.75196,440
0.713743,425,0.731363,433,0.751966,440,0.751966,440
0.71375,425,0.731369,433,0.751972,441,0.751972,441
0.713756,425,0.731376,433,0.751978,441,0.751978,441
0.713763,425,0.731383,433,0.751983,441,0.751983,441
0.71377,425,0.731389,433,0.751989,442,0.751989,442
0.713776,425,0.731396,433,0.751995,443,0.751995,443
0.713783,425,0.731402,432,0.752001,443,0.752001,443
0.713789,424,0.731409,432,0.752007,444,0.752007,444
0.713796,424,0.731415,432,0.752012,444,0.752012,444
0.713803,425,0.731422,432,0.752018,444,0.752018,444
0.713809,425,0.731428,432,0.752024,444,0.752024,444
0.713816,425,0.731435,432,0.75203,443,0.75203,443
0.713822,425,0.731441,432,0.752036,443,0.752036,443
0.713829,425,0.731448,432,0.752042,443,0.752042,443
0.713836,426,0.731455,432,0.752047,442,0.752047,442
0.713842,426,0.731461,432,0.752053,442,0.752053,442
0.713849,426,0.731468,432,0.752059,442,0.752059,442
0.713856,425,0.731474,432,0.752065,442,0.752065,442
0.713862,425,0.731481,432,0.752071,441,0.752071,441
0.713869,425,0.731487,432,0.752077,441,0.752077,441
0.713875,425,0.731494,432,0.752082,440,0.752082,440
0.713882,425,0.7315,432,0.752088,440,0.752088,440
0.713889,425,0.731507,433,0.752094,439,0.752094,439
0.713895,426,0.731514,433,0.7521,439,0.7521,439
0.713902,426,0.73152,433,0.752106,438,0.752106,438
0.713909,426,0.731527,433,0.752112,438,0.752112,438
0.713915,426,0.731533,433,0.752117,438,0.752117,438
0.713922,426,0.73154,433,0.752123,438,0.752123,438
0.713928,426,0.731546,433,0.752129,438,0.752129,438
0.713935,426,0.731553,433,0.752135,438,0.752135,438
0.713942,426,0.731559,433,0.752141,438,0.752141,438
0.713948,426,0.731566,433,0.752146,438,0.752146,438
0.713955,427,0.731573,433,0.752152,438,0.752152,438
0.713961,427,0.731579,433,0.752158,438,0.752158,438
0.713968,427,0.731586,433,0.752164,438,0.752164,438
0.713975,427,0.731592,433,0.75217,438,0.75217,438
0.713981,427,0.731599,433,0.752176,439,0.752176,439
0.713988,427,0.731605,433,0.752181,439,0.752181,439
0.713995,426,0.731612,433,0.752187,439,0.752187,439
0.714001,426,0.731618,433,0.752193,439,0.752193,439
0.714008,426,0.731625,433,0.752199,440,0.752199,440
