DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0.775937,529,0.775937,527,0.775937,527,0.775937,527
0.775952,530,0.775952,527,0.775952,527,0.775952,527
0.775967,530,0.775967,527,0.775967,527,0.775967,527
0.775983,530,0.775983,527,0.775983,527,0.775983,527
0.775998,530,0.775998,527,0.775998,527,0.775998,527
0.776013,530,0.776013,527,0.776013,527,0.776013,527
0.776029,531,0.776029,527,0.776029,527,0.776029,527
0.776044,531,0.776044,527,0.776044,527,0.776044,527
0.77606,531,0.77606,527,0.77606,527,0.77606,527
0.776075,531,0.776075,527,0.776075,527,0.776075,527
0.77609,531,0.77609,527,0.77609,527,0.77609,527
0.776106,531,0.776106,527,0.776106,527,0.776106,527
0.776121,531,0.776121,527,0.776121,527,0.776121,527
0.776136,531,0.776136,527,0.776136,527,0.776136,527
0.776152,531,0.776152,527,0.776152,527,0.776152,527
0.776167,531,0.776167,527,0.776167,527,0.776167,527
0.776182,531,0.776182,526,0.776182,527,0.776182,527
0.776198,531,0.776198,526,0.776198,527,0.776198,527
0.776213,531,0.776213,526,0.776213,527,0.776213,527
0.776229,531,0.776229,527,0.776229,527,0.776229,527
0.776244,531,0.776244,527,0.776244,527,0.776244,527
0.776259,530,0.776259,527,0.776259,527,0.776259,527
0.776275,530,0.776275,527,0.776275,527,0.776275,527
0.77629,530,0.77629,527,0.77629,527,0.77629,527
0.776305,530,0.776305,527,0.776305,527,0.776305,527
0.776321,530,0.776321,527,0.776321,527,0.776321,527
0.776336,530,0.776336,527,0.776336,527,0.776336,527
0.776351,529,0.776351,527,0.776351,528,0.776351,528
0.776367,529,0.776367,528,0.776367,528,0.776367,528
0.776382,529,0.776382,528,0.776382,528,0.776382,528
0.776398,528,0.776398,528,0.776398,528,0.776398,528
0.776413,528,0.776413,528,0.776413,528,0.776413,528
0.776428,528,0.776428,528,0.776428,528,0.776428,528
0.776444,527,0.776444,529,0.776444,529,0.776444,529
0.776459,527,0.776459,529,0.776459,529,0.776459,529
0.776474,527,0.776474,529,0.776474,529,0.776474,529
0.77649,527,0.77649,529,0.77649,529,0.77649,529
0.776505,527,0.776505,529,0.776505,529,0.776505,529
0.77652,527,0.77652,529,0.77652,529,0.77652,529
