Dx5,Fx5,Dx4,Fx4,Dx3,Fx3,Dx2,Fx2,Dx1.5,Fx1.5,Dx1.25,Fx1.25,Dx1.2,Fx1.2,Dx1.18,Fx1.18,Dx1,Fx1,Dx0.875,Fx0.875,DxAbq,FxAbq
,,,,,,,,,,0.825909,717,0.774999,527,0.761468,459,0.628068,475,0.56532,543,,
,,,,,,,,,,0.842103,730,,,0.774995,465,0.640383,485,0.576404,555,,
,,,,,,,,,,0.850006,736,,,,,0.652698,492,0.587489,566,,
,,,,,,,,,,,,,,,,0.665013,500,0.598574,575,,
,,,,,,,,,,,,,,,,0.677328,508,0.609658,585,,
,,,,,,,,,,,,,,,,0.689643,519,0.620743,597,,
,,,,,,,,,,,,,,,,0.701958,529,0.631828,610,,
,,,,,,,,,,,,,,,,0.714273,540,0.642912,620,,
,,,,,,,,,,,,,,,,0.726588,547,0.653997,628,,
,,,,,,,,,,,,,,,,0.738903,555,0.665082,637,,
,,,,,,,,,,,,,,,,0.751218,564,0.676166,650,,
,,,,,,,,,,,,,,,,0.763533,575,0.687251,665,,
,,,,,,,,,,,,,,,,0.775848,584,0.698336,674,,
,,,,,,,,,,,,,,,,0.788163,593,0.709421,682,,
,,,,,,,,,,,,,,,,0.800478,604,0.720505,692,,
,,,,,,,,,,,,,,,,0.812793,613,0.73159,705,,
,,,,,,,,,,,,,,,,0.825109,625,0.742675,719,,
,,,,,,,,,,,,,,,,0.837424,634,0.750002,724,,
,,,,,,,,,,,,,,,,0.849739,641,,,,
,,,,,,,,,,,,,,,,0.849997,641,,,,
