Dx5,Fx5,Dx4,Fx4,Dx3,Fx3,Dx2,Fx2,Dx1.5,Fx1.5,Dx1.2,Fx1.2,Dx1,Fx1,Dx0.875,Fx0.875
0.521323,801,0.515275,673,,,0.705285,590,0.753378,546,0.777365,529,0.751772,566,0.75152,723
0.52143,800,0.515352,674,,,0.705315,590,0.753398,546,0.777381,529,0.751785,566,0.751531,723
0.521537,798,0.515429,675,,,0.705344,590,0.753418,546,0.777396,529,0.751797,566,0.751542,723
0.521644,794,0.515506,674,,,0.705373,590,0.753439,546,0.777411,529,0.751809,566,0.751553,723
0.521751,785,0.515583,673,,,0.705402,590,0.753459,546,0.777427,529,0.751822,566,0.751565,723
0.521858,770,0.51566,673,,,0.705431,590,0.753479,546,0.777442,529,0.751834,566,0.751576,723
0.521964,742,0.515737,673,,,0.70546,590,0.753499,546,0.777458,529,0.751846,566,0.751587,723
0.522071,691,0.515814,674,,,0.70549,590,0.75352,545,0.777473,529,0.751859,566,0.751598,723
0.522178,597,0.515891,674,,,0.705519,590,0.75354,545,0.777488,530,0.751871,566,0.751609,723
0.522285,433,0.515968,674,,,0.705548,590,0.75356,545,0.777504,530,0.751883,566,0.75162,723
0.522392,192,0.516045,673,,,0.705577,590,0.75358,545,0.777519,530,0.751896,566,0.751631,723
0.522499,-101,0.516122,672,,,0.705606,590,0.753601,545,0.777534,530,0.751908,567,0.751642,723
,,0.516199,671,,,0.705636,590,0.753621,545,0.77755,530,0.75192,567,0.751653,723
,,0.516276,671,,,0.705665,590,0.753641,545,0.777565,530,0.751932,567,0.751664,723
,,0.516353,672,,,0.705694,589,0.753661,545,0.77758,530,0.751945,567,0.751675,723
,,0.51643,672,,,0.705723,589,0.753682,545,0.777596,530,0.751957,567,0.751687,723
,,0.516507,672,,,0.705752,589,0.753702,545,0.777611,530,0.751969,567,0.751698,723
,,0.516584,672,,,0.705781,588,0.753722,545,0.777627,531,0.751982,567,0.751709,723
,,0.516661,671,,,0.705811,588,0.753742,545,0.777642,531,0.751994,567,0.75172,723
,,0.516738,671,,,0.70584,588,0.753763,545,0.777657,531,0.752006,567,0.751731,723
,,0.516816,671,,,0.705869,588,0.753783,545,0.777673,531,0.752019,567,0.751742,723
,,0.516893,672,,,0.705898,587,0.753803,545,0.777688,531,0.752031,567,0.751753,723
,,0.51697,672,,,0.705927,587,0.753823,545,0.777703,531,0.752043,567,0.751764,723
,,0.517047,673,,,0.705957,587,0.753844,545,0.777719,531,0.752056,567,0.751775,723
,,0.517124,673,,,0.705986,587,0.753864,545,0.777734,531,0.752068,567,0.751786,723
,,0.517201,673,,,0.706015,587,0.753884,545,0.777749,531,0.75208,567,0.751797,723
,,0.517278,672,,,0.706044,587,0.753904,545,0.777765,531,0.752093,567,0.751808,723
,,0.517355,672,,,0.706073,588,0.753925,546,0.77778,531,0.752105,567,0.75182,723
,,0.517432,673,,,0.706102,588,0.753945,546,0.777796,531,0.752117,567,0.751831,723
,,0.517509,674,,,0.706132,588,0.753965,546,0.777811,531,0.75213,567,0.751842,723
,,0.517586,674,,,0.706161,588,0.753985,546,0.777826,532,0.752142,567,0.751853,723
,,0.517663,675,,,0.70619,588,0.754006,546,0.777842,532,0.752154,567,0.751864,723
,,0.51774,675,,,0.706219,588,0.754026,546,0.777857,532,0.752166,567,0.751875,723
,,0.517817,675,,,0.706248,588,0.754046,546,0.777872,532,0.752179,567,0.751886,723
,,0.517894,675,,,0.706278,589,0.754066,546,0.777888,532,0.752191,567,0.751897,724
,,0.517971,676,,,0.706307,589,0.754086,546,0.777903,532,0.752203,567,0.751908,724
,,0.518048,676,,,0.706336,589,0.754107,546,0.777918,532,0.752216,567,0.751919,724
,,0.518125,677,,,0.706365,590,0.754127,546,0.777934,532,0.752228,567,0.75193,724
,,0.518202,678,,,0.706394,590,0.754147,546,0.777949,532,0.75224,567,0.751941,724
,,0.518279,678,,,0.706423,590,0.754167,546,0.777965,532,0.752253,567,0.751953,724
,,0.518356,679,,,0.706453,591,0.754188,546,0.77798,532,0.752265,567,0.751964,724
,,0.518433,679,,,0.706482,591,0.754208,546,0.777995,532,0.752277,567,0.751975,724
,,0.51851,679,,,0.706511,591,0.754228,546,0.778011,532,0.75229,567,0.751986,724
,,0.518587,679,,,0.70654,592,0.754248,546,0.778026,532,0.752302,567,0.751997,724
,,0.518664,679,,,0.706569,592,0.754269,546,0.778041,531,0.752314,567,0.752008,724
,,0.518741,679,,,0.706599,592,0.754289,546,0.778057,531,0.752327,567,0.752019,724
,,0.518818,680,,,0.706628,592,0.754309,546,0.778072,531,0.752339,567,0.75203,724
,,0.518895,680,,,0.706657,592,0.754329,546,0.778087,531,0.752351,567,0.752041,724
,,0.518972,680,,,0.706686,592,0.75435,546,0.778103,531,0.752364,567,0.752052,724
,,0.519049,679,,,0.706715,592,0.75437,546,0.778118,531,0.752376,567,0.752063,724
,,0.519127,679,,,0.706745,591,0.75439,546,0.778134,531,0.752388,567,0.752074,724
,,0.519204,679,,,0.706774,591,0.75441,546,0.778149,531,0.7524,567,0.752086,724
,,0.519281,679,,,0.706803,591,0.754431,546,0.778164,531,0.752413,567,0.752097,724
,,0.519358,679,,,0.706832,591,0.754451,546,0.77818,531,0.752425,567,0.752108,724
,,0.519435,679,,,0.706861,591,0.754471,547,0.778195,531,0.752437,567,0.752119,724
,,0.519512,678,,,0.70689,591,0.754491,547,0.77821,531,0.75245,567,0.75213,724
,,0.519589,677,,,0.70692,591,0.754512,547,0.778226,531,0.752462,568,0.752141,724
,,0.519666,676,,,0.706949,591,0.754532,547,0.778241,531,0.752474,568,0.752152,724
,,0.519743,676,,,0.706978,591,0.754552,547,0.778256,531,0.752487,568,0.752163,724
,,0.51982,676,,,0.707007,590,0.754572,547,0.778272,531,0.752499,568,0.752174,724
,,0.519897,676,,,0.707036,590,0.754593,546,0.778287,531,0.752511,568,0.752185,724
,,0.519974,677,,,0.707066,590,0.754613,546,0.778303,531,0.752524,568,0.752196,724
