Gage_Displacement_NodeSet:0,Gage_Displacement_NodeSet:1,Gage_Displacement_NodeSet:2,Reaction_Force:0,Reaction_Force:1,Reaction_Force:2
-7.58886e-006,-1.67126e-006,-2.07719e-006,0.000383666,1.81167e-006,-2.44491e-007
-7.71126e-006,-1.68225e-006,-2.14293e-006,0.000380754,1.63931e-006,-2.54747e-007
-7.83366e-006,-1.68949e-006,-2.20786e-006,0.000378449,1.40741e-006,-2.63536e-007
-7.95606e-006,-1.69397e-006,-2.27193e-006,0.000376576,1.1323e-006,-2.70674e-007
-8.07846e-006,-1.69691e-006,-2.33509e-006,0.000374958,8.33342e-007,-2.76051e-007
-8.20086e-006,-1.69968e-006,-2.39731e-006,0.000373432,5.31555e-007,-2.79628e-007
-8.32327e-006,-1.70368e-006,-2.45858e-006,0.000371879,2.48073e-007,-2.81434e-007
-8.44567e-006,-1.71024e-006,-2.5189e-006,0.000370228,2.63873e-009,-2.81562e-007
-8.56807e-006,-1.72053e-006,-2.57827e-006,0.000368476,-1.87804e-007,-2.80164e-007
-8.69047e-006,-1.73542e-006,-2.63668e-006,0.00036668,-3.10301e-007,-2.77437e-007
-8.81287e-006,-1.7554e-006,-2.69417e-006,0.000364956,-3.56778e-007,-2.73618e-007
-8.93527e-006,-1.78057e-006,-2.75072e-006,0.000363467,-3.24571e-007,-2.68967e-007
-9.05767e-006,-1.81059e-006,-2.80638e-006,0.000362402,-2.16557e-007,-2.63756e-007
-9.18007e-006,-1.84471e-006,-2.86114e-006,0.000361957,-4.08751e-008,-2.58255e-007
-9.30247e-006,-1.88186e-006,-2.91505e-006,0.000362309,1.89719e-007,-2.52715e-007
-9.42487e-006,-1.92072e-006,-2.96812e-006,0.000363597,4.58841e-007,-2.47355e-007
-9.54727e-006,-1.95989e-006,-3.02041e-006,0.000365903,7.47712e-007,-2.42352e-007
-9.66968e-006,-1.99798e-006,-3.07195e-006,0.000369237,1.03655e-006,-2.37828e-007
-9.79208e-006,-2.03377e-006,-3.1228e-006,0.000373531,1.30601e-006,-2.33843e-007
-9.91448e-006,-2.06631e-006,-3.17303e-006,0.000378643,1.53862e-006,-2.30396e-007
-1.00369e-005,-2.09504e-006,-3.22272e-006,0.000384364,1.71997e-006,-2.27425e-007
-1.01593e-005,-2.11979e-006,-3.27196e-006,0.000390434,1.83975e-006,-2.24812e-007
-1.02817e-005,-2.14081e-006,-3.32082e-006,0.000396565,1.89245e-006,-2.22401e-007
-1.04041e-005,-2.15875e-006,-3.36939e-006,0.000402464,1.87766e-006,-2.20007e-007
-1.05265e-005,-2.17456e-006,-3.41777e-006,0.000407858,1.80007e-006,-2.17436e-007
-1.06489e-005,-2.18938e-006,-3.46603e-006,0.000412517,1.66905e-006,-2.14507e-007
-1.07713e-005,-2.20448e-006,-3.51425e-006,0.000416271,1.49787e-006,-2.11072e-007
-1.08937e-005,-2.22106e-006,-3.56248e-006,0.000419025,1.30276e-006,-2.07028e-007
-1.10161e-005,-2.24018e-006,-3.61079e-006,0.000420762,1.10162e-006,-2.02338e-007
-1.11385e-005,-2.26545e-006,-3.65922e-006,0.000421537,9.12769e-007,-1.97037e-007
-1.12609e-005,-2.29321e-006,-3.70779e-006,0.00042147,7.5356e-007,-1.91238e-007
-1.13833e-005,-2.32163e-006,-3.75655e-006,0.000420724,6.3915e-007,-1.85128e-007
-1.15057e-005,-2.35382e-006,-3.8055e-006,0.000419488,5.81417e-007,-1.78958e-007
-1.16281e-005,-2.39158e-006,-3.85468e-006,0.000417952,5.88116e-007,-1.73036e-007
-1.17505e-005,-2.43203e-006,-3.90412e-006,0.000416282,6.62335e-007,-1.67701e-007
-1.18729e-005,-2.4743e-006,-3.95383e-006,0.000414608,8.02284e-007,-1.63306e-007
-1.19953e-005,-2.51737e-006,-4.00387e-006,0.000413003,1.00143e-006,-1.60193e-007
-1.21177e-005,-2.56022e-006,-4.05428e-006,0.000411485,1.24895e-006,-1.58672e-007
-1.22401e-005,-2.6019e-006,-4.1051e-006,0.000410013,1.53049e-006,-1.58998e-007
-1.23625e-005,-2.64153e-006,-4.1564e-006,0.000408498,1.82917e-006,-1.61353e-007
-1.24849e-005,-2.67839e-006,-4.20822e-006,0.000406817,2.12675e-006,-1.65837e-007
-1.26073e-005,-2.71194e-006,-4.26063e-006,0.000404836,2.40486e-006,-1.72454e-007
-1.27297e-005,-2.7418e-006,-4.31367e-006,0.000402427,2.6463e-006,-1.81114e-007
-1.28521e-005,-2.76777e-006,-4.36739e-006,0.000399489,2.83621e-006,-1.91633e-007
-1.29745e-005,-2.79311e-006,-4.42181e-006,0.000395969,2.96309e-006,-2.03745e-007
-1.30969e-005,-2.83119e-006,-4.47695e-006,0.00039187,3.01956e-006,-2.17114e-007
-1.32193e-005,-2.86675e-006,-4.53284e-006,0.000387254,3.00293e-006,-2.3135e-007
-1.33417e-005,-2.899e-006,-4.58945e-006,0.000382247,2.91532e-006,-2.46028e-007
-1.34641e-005,-2.92731e-006,-4.64678e-006,0.000377021,2.76356e-006,-2.60713e-007
-1.35865e-005,-2.95127e-006,-4.70481e-006,0.000371783,2.55873e-006,-2.74977e-007
-1.37089e-005,-2.97074e-006,-4.76353e-006,0.000366754,2.31533e-006,-2.88424e-007
-1.38313e-005,-2.98595e-006,-4.82291e-006,0.000362146,2.05038e-006,-3.00707e-007
-1.39537e-005,-2.99749e-006,-4.88293e-006,0.000358146,1.78218e-006,-3.11545e-007
-1.40761e-005,-3.00627e-006,-4.94359e-006,0.000354892,1.52903e-006,-3.20739e-007
-1.41985e-005,-3.01352e-006,-5.00487e-006,0.000352464,1.30802e-006,-3.28176e-007
-1.43209e-005,-3.02063e-006,-5.06679e-006,0.000350881,1.13378e-006,-3.33841e-007
-1.44433e-005,-3.02909e-006,-5.12934e-006,0.0003501,1.0175e-006,-3.37807e-007
-1.45657e-005,-3.04028e-006,-5.19253e-006,0.000350025,9.66113e-007,-3.4024e-007
-1.46881e-005,-3.0554e-006,-5.25637e-006,0.000350524,9.81858e-007,-3.41378e-007
-1.48105e-005,-3.07531e-006,-5.32086e-006,0.000351445,1.06212e-006,-3.41522e-007
-1.49329e-005,-3.10045e-006,-5.38598e-006,0.000352638,1.19966e-006,-3.41011e-007
-1.50553e-005,-3.13075e-006,-5.45172e-006,0.000353975,1.38315e-006,-3.40205e-007
-1.51777e-005,-3.16566e-006,-5.51804e-006,0.000355365,1.59802e-006,-3.39451e-007
-1.53001e-005,-3.20419e-006,-5.5849e-006,0.000356763,1.82759e-006,-3.39065e-007
-1.54225e-005,-3.24503e-006,-5.65224e-006,0.000358176,2.05429e-006,-3.39304e-007
-1.55449e-005,-3.28661e-006,-5.71998e-006,0.000359661,2.26098e-006,-3.40346e-007
-1.56673e-005,-3.32735e-006,-5.78805e-006,0.000361312,2.43228e-006,-3.42274e-007
-1.57897e-005,-3.36577e-006,-5.85637e-006,0.000363249,2.55567e-006,-3.45067e-007
-1.59121e-005,-3.40068e-006,-5.92485e-006,0.000365594,2.62249e-006,-3.48598e-007
-1.60345e-005,-3.43128e-006,-5.99341e-006,0.000368456,2.62856e-006,-3.5264e-007
-1.61569e-005,-3.45723e-006,-6.06197e-006,0.000371908,2.57452e-006,-3.56886e-007
-1.62793e-005,-3.47873e-006,-6.13047e-006,0.000375977,2.46573e-006,-3.60966e-007
-1.64017e-005,-3.49644e-006,-6.19886e-006,0.000380628,2.31189e-006,-3.64479e-007
-1.65241e-005,-3.5114e-006,-6.26709e-006,0.000385765,2.12625e-006,-3.67027e-007
-1.66465e-005,-3.52493e-006,-6.33513e-006,0.000391236,1.92464e-006,-3.68249e-007
-1.67689e-005,-3.53846e-006,-6.40293e-006,0.00039684,1.72419e-006,-3.67854e-007
-1.68913e-005,-3.55334e-006,-6.47048e-006,0.000402348,1.54203e-006,-3.65654e-007
-1.70137e-005,-3.57074e-006,-6.53776e-006,0.000407516,1.39399e-006,-3.6158e-007
-1.71361e-005,-3.59147e-006,-6.60473e-006,0.000412116,1.29338e-006,-3.55703e-007
-1.72585e-005,-3.61594e-006,-6.67137e-006,0.000415947,1.24995e-006,-3.48232e-007
-1.73809e-005,-3.64408e-006,-6.73764e-006,0.000418857,1.26919e-006,-3.39508e-007
-1.75033e-005,-3.6754e-006,-6.80351e-006,0.000420754,1.35189e-006,-3.29983e-007
-1.76257e-005,-3.70909e-006,-6.86892e-006,0.000421614,1.49412e-006,-3.20194e-007
-1.77481e-005,-3.74406e-006,-6.93385e-006,0.000421472,1.68752e-006,-3.10723e-007
-1.78705e-005,-3.77913e-006,-6.99825e-006,0.000420426,1.91996e-006,-3.02159e-007
-1.79929e-005,-3.8132e-006,-7.06207e-006,0.000418615,2.17644e-006,-2.95056e-007
-1.81153e-005,-3.8453e-006,-7.12528e-006,0.000416206,2.44025e-006,-2.89891e-007
-1.82377e-005,-3.87479e-006,-7.18786e-006,0.000413375,2.69422e-006,-2.87028e-007
-1.83601e-005,-3.90135e-006,-7.24979e-006,0.00041029,2.92195e-006,-2.86697e-007
-1.84825e-005,-3.92503e-006,-7.31106e-006,0.000407097,3.10903e-006,-2.8897e-007
-1.86049e-005,-3.9462e-006,-7.37166e-006,0.000403903,3.2441e-006,-2.93765e-007
-1.87273e-005,-3.96547e-006,-7.43161e-006,0.000400777,3.31958e-006,-3.00846e-007
-1.88497e-005,-3.98357e-006,-7.49091e-006,0.000397744,3.33223e-006,-3.09843e-007
-1.89721e-005,-4.00127e-006,-7.54956e-006,0.00039479,3.2833e-006,-3.20281e-007
-1.90945e-005,-4.01918e-006,-7.60758e-006,0.000391877,3.17839e-006,-3.31616e-007
-1.9217e-005,-4.03773e-006,-7.66496e-006,0.000388946,3.02698e-006,-3.43269e-007
-1.93394e-005,-4.05704e-006,-7.72169e-006,0.000385939,2.8417e-006,-3.54667e-007
-1.94618e-005,-4.07696e-006,-7.77776e-006,0.000382807,2.63736e-006,-3.65285e-007
-1.95842e-005,-4.09705e-006,-7.83315e-006,0.000379525,2.42988e-006,-3.74671e-007
-1.97066e-005,-4.11666e-006,-7.88781e-006,0.000376097,2.23509e-006,-3.82479e-007
-1.9829e-005,-4.13508e-006,-7.94171e-006,0.000372565,2.06765e-006,-3.88483e-007
-1.99514e-005,-4.15161e-006,-7.99481e-006,0.000369004,1.93999e-006,-3.92585e-007
-2.00738e-005,-4.17084e-006,-8.04706e-006,0.000365521,1.86144e-006,-3.94815e-007
-2.01962e-005,-4.19545e-006,-8.09841e-006,0.000362246,1.83761e-006,-3.95322e-007
-2.03186e-005,-4.21414e-006,-8.14883e-006,0.000359322,1.87003e-006,-3.94356e-007
-2.0441e-005,-4.22644e-006,-8.1983e-006,0.000356893,1.95609e-006,-3.92246e-007
-2.05634e-005,-4.23258e-006,-8.24677e-006,0.000355092,2.08925e-006,-3.89375e-007
-2.06858e-005,-4.23346e-006,-8.29423e-006,0.000354033,2.25953e-006,-3.86152e-007
-2.08082e-005,-4.23056e-006,-8.34067e-006,0.0003538,2.45428e-006,-3.82986e-007
-2.09306e-005,-4.2257e-006,-8.38608e-006,0.000354443,2.65907e-006,-3.80258e-007
-2.1053e-005,-4.2289e-006,-8.43046e-006,0.000355975,2.85872e-006,-3.783e-007
-2.11754e-005,-4.24407e-006,-8.47378e-006,0.000358373,3.03846e-006,-3.77375e-007
-2.12978e-005,-4.26326e-006,-8.51605e-006,0.00036158,3.18491e-006,-3.77666e-007
-2.14202e-005,-4.28617e-006,-8.55725e-006,0.000365513,3.28711e-006,-3.79265e-007
-2.15426e-005,-4.31197e-006,-8.59735e-006,0.000370062,3.3373e-006,-3.82169e-007
-2.1665e-005,-4.33935e-006,-8.63636e-006,0.000375105,3.33151e-006,-3.86284e-007
-2.17874e-005,-4.36664e-006,-8.67423e-006,0.000380506,3.26985e-006,-3.91429e-007
-2.19098e-005,-4.392e-006,-8.71096e-006,0.000386125,3.15657e-006,-3.97351e-007
-2.20322e-005,-4.4136e-006,-8.74652e-006,0.000391821,2.99978e-006,-4.03734e-007
-2.21546e-005,-4.42986e-006,-8.78091e-006,0.000397453,2.81091e-006,-4.10224e-007
-2.2277e-005,-4.43961e-006,-8.81413e-006,0.00040289,2.60391e-006,-4.16448e-007
-2.23994e-005,-4.44224e-006,-8.84619e-006,0.000408004,2.39427e-006,-4.22036e-007
-2.25218e-005,-4.43784e-006,-8.87712e-006,0.000412681,2.19795e-006,-4.26648e-007
-2.26442e-005,-4.42715e-006,-8.90695e-006,0.000416819,2.03016e-006,-4.29995e-007
-2.27666e-005,-4.41155e-006,-8.93573e-006,0.00042033,1.90433e-006,-4.31862e-007
-2.2889e-005,-4.3929e-006,-8.96352e-006,0.000423146,1.83102e-006,-4.32126e-007
-2.30114e-005,-4.37336e-006,-8.99038e-006,0.000425221,1.81721e-006,-4.30766e-007
-2.31338e-005,-4.36533e-006,-9.01636e-006,0.000426532,1.86565e-006,-4.27875e-007
-2.32562e-005,-4.36003e-006,-9.04154e-006,0.000427081,1.97469e-006,-4.23653e-007
-2.33786e-005,-4.35653e-006,-9.06596e-006,0.000426894,2.13832e-006,-4.18402e-007
-2.3501e-005,-4.35561e-006,-9.08968e-006,0.000426024,2.34653e-006,-4.1251e-007
-2.36234e-005,-4.35753e-006,-9.11273e-006,0.000424541,2.58606e-006,-4.06424e-007
-2.37458e-005,-4.36202e-006,-9.13513e-006,0.000422531,2.8413e-006,-4.00622e-007
-2.38682e-005,-4.36835e-006,-9.15691e-006,0.000420087,3.09544e-006,-3.95578e-007
-2.39906e-005,-4.37542e-006,-9.17808e-006,0.000417303,3.33165e-006,-3.91725e-007
-2.4113e-005,-4.3917e-006,-9.19862e-006,0.000414265,3.53435e-006,-3.89424e-007
-2.42354e-005,-4.41079e-006,-9.21855e-006,0.000411045,3.69033e-006,-3.88927e-007
-2.43578e-005,-4.42717e-006,-9.23786e-006,0.000407694,3.78971e-006,-3.90355e-007
-2.44802e-005,-4.43897e-006,-9.25653e-006,0.000404241,3.82669e-006,-3.93681e-007
-2.46026e-005,-4.44485e-006,-9.27458e-006,0.000400691,3.7999e-006,-3.98726e-007
-2.4725e-005,-4.44404e-006,-9.29201e-006,0.000397031,3.71255e-006,-4.05161e-007
-2.48474e-005,-4.43651e-006,-9.30882e-006,0.000393232,3.57209e-006,-4.12527e-007
-2.49698e-005,-4.42285e-006,-9.32501e-006,0.000389258,3.38968e-006,-4.20263e-007
-2.50922e-005,-4.40426e-006,-9.3406e-006,0.000385076,3.17926e-006,-4.2774e-007
-2.52146e-005,-4.38238e-006,-9.35559e-006,0.000380666,2.95654e-006,-4.34305e-007
-2.5337e-005,-4.35912e-006,-9.36998e-006,0.000376028,2.73772e-006,-4.39323e-007
-2.54594e-005,-4.33643e-006,-9.38376e-006,0.000371187,2.53835e-006,-4.42229e-007
-2.55818e-005,-4.31609e-006,-9.39693e-006,0.000366201,2.37206e-006,-4.42559e-007
-2.57042e-005,-4.3053e-006,-9.40948e-006,0.000361156,2.24963e-006,-4.39991e-007
-2.58266e-005,-4.30846e-006,-9.42137e-006,0.000356163,2.17815e-006,-4.34365e-007
-2.5949e-005,-4.31285e-006,-9.43258e-006,0.000351353,2.16054e-006,-4.25695e-007
-2.60714e-005,-4.31693e-006,-9.44309e-006,0.000346864,2.19535e-006,-4.14168e-007
-2.61938e-005,-4.31911e-006,-9.45289e-006,0.000342834,2.27698e-006,-4.00132e-007
-2.63162e-005,-4.31795e-006,-9.46194e-006,0.000339384,2.39604e-006,-3.84072e-007
-2.64386e-005,-4.31242e-006,-9.47026e-006,0.000336612,2.54021e-006,-3.66572e-007
-2.6561e-005,-4.31299e-006,-9.47785e-006,0.000334582,2.6951e-006,-3.48279e-007
-2.66834e-005,-4.32463e-006,-9.48472e-006,0.000333322,2.84543e-006,-3.29852e-007
-2.68058e-005,-4.33542e-006,-9.49091e-006,0.000332823,2.97615e-006,-3.11924e-007
-2.69282e-005,-4.34461e-006,-9.49647e-006,0.000333043,3.07355e-006,-2.95057e-007
-2.70506e-005,-4.35172e-006,-9.50145e-006,0.000333909,3.12634e-006,-2.79703e-007
-2.7173e-005,-4.35662e-006,-9.50591e-006,0.000335336,3.12643e-006,-2.66182e-007
-2.72954e-005,-4.35942e-006,-9.50992e-006,0.000337227,3.06956e-006,-2.54658e-007
-2.74178e-005,-4.3604e-006,-9.51354e-006,0.000339491,2.9556e-006,-2.45141e-007
-2.75402e-005,-4.35996e-006,-9.51683e-006,0.00034205,2.7886e-006,-2.37483e-007
-2.76626e-005,-4.35851e-006,-9.51985e-006,0.000344845,2.57651e-006,-2.31401e-007
-2.7785e-005,-4.35633e-006,-9.52265e-006,0.000347837,2.33062e-006,-2.26498e-007
-2.79074e-005,-4.35362e-006,-9.52526e-006,0.00035101,2.06483e-006,-2.22297e-007
-2.80298e-005,-4.35039e-006,-9.52773e-006,0.000354361,1.79467e-006,-2.18279e-007
-2.81522e-005,-4.34649e-006,-9.53009e-006,0.000357895,1.53628e-006,-2.1392e-007
-2.82746e-005,-4.34168e-006,-9.53238e-006,0.000361615,1.3053e-006,-2.08735e-007
-2.8397e-005,-4.33565e-006,-9.53463e-006,0.000365508,1.11583e-006,-2.02309e-007
-2.85194e-005,-4.32815e-006,-9.53689e-006,0.00036954,9.79476e-007,-1.94333e-007
-2.86418e-005,-4.319e-006,-9.53921e-006,0.000373647,9.04541e-007,-1.84624e-007
-2.87642e-005,-4.30821e-006,-9.54165e-006,0.000377731,8.95487e-007,-1.73143e-007
-2.88866e-005,-4.29596e-006,-9.54428e-006,0.000381662,9.52596e-007,-1.59998e-007
-2.9009e-005,-4.28264e-006,-9.54717e-006,0.000385288,1.07193e-006,-1.45441e-007
-2.91314e-005,-4.26878e-006,-9.55041e-006,0.000388438,1.24556e-006,-1.2985e-007
-2.92538e-005,-4.25501e-006,-9.55405e-006,0.000390944,1.46204e-006,-1.1371e-007
-2.93762e-005,-4.24194e-006,-9.55817e-006,0.00039265,1.70717e-006,-9.75781e-008
-2.94986e-005,-4.23009e-006,-9.56281e-006,0.000393431,1.96486e-006,-8.20477e-008
-2.9621e-005,-4.21977e-006,-9.56802e-006,0.000393207,2.21821e-006,-6.77089e-008
-2.97434e-005,-4.21101e-006,-9.57378e-006,0.000391951,2.45057e-006,-5.51069e-008
-2.98658e-005,-4.20351e-006,-9.5801e-006,0.000389699,2.6467e-006,-4.47032e-008
-2.99882e-005,-4.19665e-006,-9.58692e-006,0.000386547,2.79371e-006,-3.68406e-008
-3.01106e-005,-4.1895e-006,-9.59418e-006,0.000382644,2.88198e-006,-3.17156e-008
-3.0233e-005,-4.18094e-006,-9.60179e-006,0.000378188,2.90581e-006,-2.93599e-008
-3.03554e-005,-4.16976e-006,-9.60962e-006,0.000373405,2.86377e-006,-2.96316e-008
-3.04778e-005,-4.1548e-006,-9.61755e-006,0.000368533,2.7589e-006,-3.22187e-008
-3.06002e-005,-4.13509e-006,-9.62543e-006,0.000363807,2.59843e-006,-3.66533e-008
-3.07226e-005,-4.11001e-006,-9.63312e-006,0.000359438,2.39334e-006,-4.23373e-008
-3.0845e-005,-4.07934e-006,-9.64045e-006,0.000355603,2.15759e-006,-4.85768e-008
-3.09674e-005,-4.04337e-006,-9.64726e-006,0.000352432,1.90716e-006,-5.46238e-008
-3.10898e-005,-4.00287e-006,-9.65339e-006,0.000350005,1.65895e-006,-5.97228e-008
-3.12122e-005,-3.95908e-006,-9.65868e-006,0.000348353,1.42954e-006,-6.31575e-008
-3.13346e-005,-3.91356e-006,-9.66296e-006,0.000347464,1.23407e-006,-6.42965e-008
-3.1457e-005,-3.86808e-006,-9.66606e-006,0.000347289,1.08508e-006,-6.26328e-008
-3.15794e-005,-3.82447e-006,-9.6678e-006,0.00034776,9.91671e-007,-5.78151e-008
-3.17018e-005,-3.78438e-006,-9.66799e-006,0.0003488,9.58809e-007,-4.96692e-008
-3.18242e-005,-3.74919e-006,-9.66645e-006,0.000350335,9.86961e-007,-3.82063e-008
-3.19467e-005,-3.71984e-006,-9.66298e-006,0.000352305,1.07206e-006,-2.36193e-008
-3.20691e-005,-3.69673e-006,-9.65738e-006,0.000354672,1.20582e-006,-6.26672e-009
-3.21915e-005,-3.67971e-006,-9.64946e-006,0.00035742,1.37631e-006,1.33548e-008
-3.23139e-005,-3.66809e-006,-9.63903e-006,0.000360557,1.56886e-006,3.46464e-008
-3.24363e-005,-3.66072e-006,-9.6259e-006,0.000364107,1.76714e-006,5.69489e-008
-3.25587e-005,-3.65611e-006,-9.60993e-006,0.000368102,1.95436e-006,7.95876e-008
-3.26811e-005,-3.65255e-006,-9.59098e-006,0.000372575,2.11451e-006,1.01917e-007
-3.28035e-005,-3.64832e-006,-9.56895e-006,0.000377549,2.23356e-006,1.23358e-007
-3.29259e-005,-3.64182e-006,-9.54377e-006,0.000383028,2.30049e-006,1.43437e-007
-3.30483e-005,-3.6317e-006,-9.51543e-006,0.00038899,2.30805e-006,1.61803e-007
-3.31707e-005,-3.61697e-006,-9.48392e-006,0.000395389,2.25336e-006,1.78248e-007
-3.32931e-005,-3.59705e-006,-9.4493e-006,0.000402151,2.13803e-006,1.92705e-007
-3.34155e-005,-3.5718e-006,-9.41163e-006,0.000409179,1.96806e-006,2.05241e-007
-3.35379e-005,-3.54145e-006,-9.37102e-006,0.000416362,1.75337e-006,2.16042e-007
-3.36603e-005,-3.50659e-006,-9.32758e-006,0.000423581,1.50705e-006,2.25385e-007
-3.37827e-005,-3.468e-006,-9.28144e-006,0.000430719,1.24439e-006,2.33608e-007
