Gage_Displacement_NodeSet:0,Gage_Displacement_NodeSet:1,Gage_Displacement_NodeSet:2,Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,Time
-0.00106734,-0.000154079,-0.000563551,0.0197589,3.64129e-005,-1.18677e-006,0.00012808
-0.00106746,-0.000154046,-0.000563563,0.0197535,3.64408e-005,-1.16469e-006,0.000128095
-0.00106758,-0.00015401,-0.000563573,0.0197491,3.65459e-005,-1.14002e-006,0.00012811
-0.0010677,-0.000153974,-0.000563581,0.0197459,3.67277e-005,-1.11355e-006,0.000128124
-0.00106783,-0.000153937,-0.000563587,0.0197441,3.69822e-005,-1.08602e-006,0.000128139
-0.00106795,-0.000153902,-0.00056359,0.0197439,3.73027e-005,-1.05796e-006,0.000128154
-0.00106807,-0.000153867,-0.000563591,0.0197453,3.76792e-005,-1.02976e-006,0.000128169
-0.00106819,-0.000153833,-0.000563589,0.0197482,3.80994e-005,-1.00159e-006,0.000128183
-0.00106832,-0.000153801,-0.000563585,0.0197526,3.85488e-005,-9.73403e-007,0.000128198
-0.00106844,-0.000153769,-0.000563578,0.0197584,3.90113e-005,-9.44986e-007,0.000128213
-0.00106856,-0.000153738,-0.000563568,0.0197653,3.94699e-005,-9.15974e-007,0.000128227
-0.00106868,-0.000153708,-0.000563556,0.0197731,3.99076e-005,-8.85904e-007,0.000128242
-0.00106881,-0.000153678,-0.000563541,0.0197817,4.03078e-005,-8.54269e-007,0.000128257
-0.00106893,-0.000153648,-0.000563524,0.0197906,4.06552e-005,-8.20576e-007,0.000128271
-0.00106905,-0.000153618,-0.000563503,0.0197997,4.09364e-005,-7.84394e-007,0.000128286
-0.00106917,-0.000153588,-0.00056348,0.0198088,4.11406e-005,-7.45405e-007,0.000128301
-0.00106929,-0.000153559,-0.000563455,0.0198176,4.126e-005,-7.03432e-007,0.000128315
-0.00106942,-0.000153531,-0.000563426,0.019826,4.12898e-005,-6.58458e-007,0.00012833
-0.00106954,-0.000153504,-0.000563395,0.0198337,4.12289e-005,-6.10634e-007,0.000128345
-0.00106966,-0.00015348,-0.000563361,0.0198408,4.10795e-005,-5.60266e-007,0.000128359
-0.00106978,-0.000153457,-0.000563325,0.0198472,4.08472e-005,-5.07798e-007,0.000128374
-0.00106991,-0.000153437,-0.000563285,0.0198527,4.05403e-005,-4.53776e-007,0.000128389
-0.00107003,-0.00015342,-0.000563243,0.0198575,4.01699e-005,-3.98819e-007,0.000128404
-0.00107015,-0.000153404,-0.000563197,0.0198615,3.97493e-005,-3.43578e-007,0.000128418
-0.00107027,-0.00015339,-0.000563149,0.019865,3.92928e-005,-2.88696e-007,0.000128433
-0.0010704,-0.000153376,-0.000563097,0.0198678,3.88157e-005,-2.34779e-007,0.000128448
-0.00107052,-0.000153363,-0.000563042,0.0198702,3.83333e-005,-1.82361e-007,0.000128462
-0.00107064,-0.000153348,-0.000562983,0.0198723,3.78602e-005,-1.3189e-007,0.000128477
-0.00107076,-0.000153331,-0.000562922,0.0198743,3.74096e-005,-8.37025e-008,0.000128492
-0.00107089,-0.000153312,-0.000562856,0.0198761,3.69929e-005,-3.80249e-008,0.000128506
-0.00107101,-0.00015329,-0.000562787,0.019878,3.66193e-005,5.03387e-009,0.000128521
-0.00107113,-0.000153265,-0.000562714,0.01988,3.62949e-005,4.54768e-008,0.000128536
-0.00107125,-0.000153237,-0.000562638,0.0198822,3.60231e-005,8.34104e-008,0.00012855
-0.00107138,-0.000153206,-0.000562557,0.0198847,3.58043e-005,1.19032e-007,0.000128565
-0.0010715,-0.000153173,-0.000562473,0.0198876,3.56359e-005,1.52615e-007,0.00012858
-0.00107162,-0.000153138,-0.000562384,0.0198907,3.55129e-005,1.8449e-007,0.000128594
-0.00107174,-0.000153101,-0.000562291,0.0198943,3.54278e-005,2.15021e-007,0.000128609
-0.00107187,-0.000153062,-0.000562195,0.0198982,3.53718e-005,2.44589e-007,0.000128624
-0.00107199,-0.000153022,-0.000562094,0.0199025,3.5335e-005,2.73561e-007,0.000128639
-0.00107211,-0.00015298,-0.000561989,0.0199071,3.53075e-005,3.02268e-007,0.000128653
-0.00107223,-0.000152936,-0.000561881,0.019912,3.52795e-005,3.30983e-007,0.000128668
-0.00107235,-0.000152889,-0.000561768,0.0199171,3.5243e-005,3.5989e-007,0.000128683
-0.00107248,-0.000152839,-0.000561653,0.0199226,3.51916e-005,3.89073e-007,0.000128697
-0.0010726,-0.000152784,-0.000561534,0.0199281,3.51213e-005,4.18497e-007,0.000128712
-0.00107272,-0.000152726,-0.000561411,0.0199339,3.50311e-005,4.48003e-007,0.000128727
-0.00107284,-0.000152662,-0.000561286,0.0199397,3.49227e-005,4.77307e-007,0.000128741
-0.00107297,-0.000152594,-0.000561158,0.0199454,3.48009e-005,5.06014e-007,0.000128756
-0.00107309,-0.000152523,-0.000561028,0.0199511,3.4673e-005,5.33637e-007,0.000128771
-0.00107321,-0.000152448,-0.000560895,0.0199565,3.45483e-005,5.59631e-007,0.000128785
-0.00107333,-0.000152372,-0.000560761,0.0199615,3.44378e-005,5.83423e-007,0.0001288
-0.00107346,-0.000152296,-0.000560625,0.0199662,3.43531e-005,6.04463e-007,0.000128815
-0.00107358,-0.000152222,-0.000560487,0.0199703,3.43054e-005,6.22262e-007,0.000128829
-0.0010737,-0.000152151,-0.000560349,0.0199737,3.4305e-005,6.36435e-007,0.000128844
-0.00107382,-0.000152086,-0.00056021,0.0199764,3.43602e-005,6.46737e-007,0.000128859
-0.00107395,-0.000152027,-0.00056007,0.0199784,3.44764e-005,6.53086e-007,0.000128874
-0.00107407,-0.000151974,-0.000559931,0.0199797,3.46559e-005,6.55574e-007,0.000128888
-0.00107419,-0.000151928,-0.000559791,0.0199804,3.48972e-005,6.54468e-007,0.000128903
-0.00107431,-0.000151889,-0.000559652,0.0199805,3.51947e-005,6.50191e-007,0.000128918
-0.00107444,-0.000151855,-0.000559514,0.0199802,3.55394e-005,6.43287e-007,0.000128932
-0.00107456,-0.000151825,-0.000559377,0.0199798,3.59184e-005,6.34381e-007,0.000128947
-0.00107468,-0.000151796,-0.000559241,0.0199795,3.63163e-005,6.24127e-007,0.000128962
-0.0010748,-0.000151769,-0.000559107,0.0199795,3.67152e-005,6.13154e-007,0.000128976
-0.00107493,-0.000151739,-0.000558975,0.0199801,3.70959e-005,6.02015e-007,0.000128991
-0.00107505,-0.000151706,-0.000558845,0.0199815,3.7439e-005,5.91135e-007,0.000129006
-0.00107517,-0.000151669,-0.000558718,0.0199841,3.77258e-005,5.80786e-007,0.00012902
-0.00107529,-0.000151627,-0.000558593,0.0199879,3.79388e-005,5.71057e-007,0.000129035
-0.00107541,-0.000151579,-0.000558471,0.0199929,3.80634e-005,5.61854e-007,0.00012905
-0.00107554,-0.000151528,-0.000558353,0.0199994,3.8088e-005,5.5291e-007,0.000129065
-0.00107566,-0.000151472,-0.000558237,0.0200071,3.80047e-005,5.43811e-007,0.000129079
-0.00107578,-0.000151414,-0.000558125,0.020016,3.78099e-005,5.34037e-007,0.000129094
-0.0010759,-0.000151356,-0.000558016,0.0200258,3.75042e-005,5.23002e-007,0.000129109
-0.00107603,-0.000151298,-0.00055791,0.0200362,3.70926e-005,5.1011e-007,0.000129123
-0.00107615,-0.000151242,-0.000557808,0.0200471,3.65842e-005,4.94806e-007,0.000129138
-0.00107627,-0.00015119,-0.000557708,0.0200579,3.59918e-005,4.76614e-007,0.000129153
-0.00107639,-0.000151141,-0.000557612,0.0200685,3.53316e-005,4.55177e-007,0.000129167
-0.00107652,-0.000151097,-0.00055752,0.0200784,3.46221e-005,4.30281e-007,0.000129182
-0.00107664,-0.000151058,-0.000557429,0.0200875,3.38839e-005,4.01867e-007,0.000129197
-0.00107676,-0.000151022,-0.000557342,0.0200955,3.31383e-005,3.70029e-007,0.000129211
-0.00107688,-0.00015099,-0.000557257,0.0201022,3.24071e-005,3.35001e-007,0.000129226
-0.00107701,-0.000150961,-0.000557174,0.0201075,3.17113e-005,2.97141e-007,0.000129241
-0.00107713,-0.000150933,-0.000557093,0.0201113,3.10704e-005,2.56898e-007,0.000129255
-0.00107725,-0.000150907,-0.000557013,0.0201138,3.05018e-005,2.14788e-007,0.00012927
-0.00107737,-0.00015088,-0.000556935,0.0201149,3.002e-005,1.71362e-007,0.000129285
-0.0010775,-0.000150854,-0.000556858,0.0201148,2.9636e-005,1.27179e-007,0.0001293
-0.00107762,-0.000150828,-0.000556782,0.0201134,2.93571e-005,8.27893e-008,0.000129314
-0.00107774,-0.000150801,-0.000556706,0.0201111,2.91864e-005,3.87134e-008,0.000129329
-0.00107786,-0.000150775,-0.00055663,0.0201078,2.91229e-005,-4.56386e-009,0.000129344
-0.00107799,-0.000150748,-0.000556553,0.0201036,2.91616e-005,-4.65983e-008,0.000129358
-0.00107811,-0.000150723,-0.000556476,0.0200987,2.92937e-005,-8.69864e-008,0.000129373
-0.00107823,-0.000150697,-0.000556399,0.020093,2.95071e-005,-1.25363e-007,0.000129388
-0.00107835,-0.000150672,-0.00055632,0.0200867,2.97875e-005,-1.61396e-007,0.000129402
-0.00107847,-0.000150646,-0.00055624,0.0200798,3.01184e-005,-1.94788e-007,0.000129417
-0.0010786,-0.00015062,-0.000556159,0.0200723,3.04829e-005,-2.25268e-007,0.000129432
-0.00107872,-0.000150592,-0.000556076,0.0200642,3.08641e-005,-2.52597e-007,0.000129446
