Gage_Displacement_NodeSet:0,Gage_Displacement_NodeSet:1,Gage_Displacement_NodeSet:2,Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,Time
0,0,0,0,0,0,0
-1.47709e-008,1.52882e-007,0,1.41195e-007,-0.000679056,7.29582e-008,1.83458e-008
-7.83648e-008,3.05764e-007,0,8.84589e-008,-0.000869328,1.06201e-007,3.66917e-008
-1.31641e-007,4.58646e-007,0,5.76348e-008,-0.000462309,8.62998e-008,5.50375e-008
-1.17038e-007,6.11528e-007,0,3.6541e-008,0.000182946,-2.30266e-008,7.33834e-008
-1.22957e-007,7.6441e-007,0,-2.50911e-008,0.000607473,-1.1918e-007,9.17292e-008
-1.17272e-007,9.17292e-007,0,4.28327e-008,0.000518071,-1.06141e-007,1.10075e-007
-1.02738e-007,1.07017e-006,0,3.80198e-007,2.27953e-005,-4.1648e-009,1.28421e-007
-1.2723e-007,1.22306e-006,0,8.90612e-007,-0.000504087,7.38786e-008,1.46767e-007
-1.37641e-007,1.37594e-006,0,1.07597e-006,-0.000685997,6.38074e-008,1.65113e-007
-1.5452e-007,1.52882e-006,0,9.32552e-007,-0.000409837,-1.47814e-008,1.83458e-007
-1.58237e-007,1.6817e-006,0,6.63146e-007,9.58647e-005,-8.72057e-008,2.01804e-007
-1.54456e-007,1.83458e-006,0,1.44026e-007,0.00046868,-8.76225e-008,2.2015e-007
-1.6884e-007,1.98747e-006,0,-6.49625e-007,0.000446983,-3.21557e-008,2.38496e-007
-1.47661e-007,2.14035e-006,0,-1.40675e-006,7.36007e-005,2.99775e-008,2.56842e-007
-1.49801e-007,2.29323e-006,0,-1.72874e-006,-0.000370722,5.4522e-008,2.75188e-007
-1.90302e-007,2.44611e-006,0,-1.29169e-006,-0.000572132,1.11888e-008,2.93533e-007
-2.23766e-007,2.59899e-006,0,1.38074e-007,-0.000392882,-3.69863e-008,3.11879e-007
-2.19937e-007,2.75188e-006,0,2.37682e-006,1.24088e-005,-4.96347e-008,3.30225e-007
-2.07651e-007,2.90476e-006,0,4.36527e-006,0.000354671,-2.94965e-008,3.48571e-007
-1.93572e-007,3.05764e-006,0,4.24866e-006,0.000393746,-5.97919e-009,3.66917e-007
-1.70218e-007,3.21052e-006,0,1.38652e-006,0.000127854,-1.04667e-009,3.85263e-007
-2.02986e-007,3.3634e-006,0,-2.57602e-006,-0.000227659,5.61804e-009,4.03609e-007
-2.57595e-007,3.51629e-006,0,-5.36132e-006,-0.000419947,-1.33702e-008,4.21954e-007
-2.14368e-007,3.66917e-006,0,-5.58312e-006,-0.000323666,-3.68264e-008,4.403e-007
-2.27068e-007,3.82205e-006,0,-2.92178e-006,-4.42693e-005,-5.63147e-008,4.58646e-007
-2.6385e-007,3.97493e-006,0,1.611e-006,0.000208818,-3.80258e-008,4.76992e-007
-2.55705e-007,4.12781e-006,0,5.30717e-006,0.000256216,-5.39677e-009,4.95338e-007
-2.23527e-007,4.2807e-006,0,4.98519e-006,8.75053e-005,1.20482e-008,5.13684e-007
-2.32856e-007,4.43358e-006,0,1.43533e-007,-0.000165479,-1.08547e-009,5.32029e-007
-2.67151e-007,4.58646e-006,0,-5.94111e-006,-0.000336036,-4.75631e-008,5.50375e-007
-3.26292e-007,4.73934e-006,0,-8.93134e-006,-0.000316109,-6.22549e-008,5.68721e-007
-3.50812e-007,4.89222e-006,0,-6.66863e-006,-0.000143017,-5.08069e-008,5.87067e-007
-3.89523e-007,5.04511e-006,0,-6.33414e-008,6.44611e-005,-8.22421e-009,6.05413e-007
-3.96047e-007,5.19799e-006,0,7.01262e-006,0.000166309,1.59313e-008,6.23759e-007
-3.56318e-007,5.35087e-006,0,9.64827e-006,0.000104676,-4.56133e-009,6.42104e-007
-3.35608e-007,5.50375e-006,0,5.07377e-006,-6.38593e-005,-4.0434e-008,6.6045e-007
-3.36872e-007,5.65663e-006,0,-4.51674e-006,-0.000224865,-7.09171e-008,6.78796e-007
-3.67358e-007,5.80951e-006,0,-1.29002e-005,-0.000262699,-5.70567e-008,6.97142e-007
-4.19945e-007,5.9624e-006,0,-1.40347e-005,-0.000160387,-1.51834e-008,7.15488e-007
-4.18947e-007,6.11528e-006,0,-5.90937e-006,9.71365e-006,4.24022e-008,7.33834e-007
-3.78574e-007,6.26816e-006,0,8.01316e-006,0.000127455,5.82116e-008,7.5218e-007
-3.8094e-007,6.42104e-006,0,1.96971e-005,0.000114727,3.97918e-009,7.70525e-007
